leg,tickLead,tickRace,distance,area
0,-967.0,-8348.0,156.118,0.0
1,-641.0,-8022.0,156.093,0.0
1,-636.0,-8017.0,155.992,0.0
1,-631.0,-8012.0,155.905,0.0
1,-626.0,-8007.0,155.839,0.0
1,-621.0,-8002.0,155.792,0.0
1,-616.0,-7997.0,155.767,0.0
1,-536.0,-7917.0,155.721,0.0
1,-531.0,-7912.0,155.632,0.0
1,-526.0,-7907.0,155.553,0.0
1,-521.0,-7902.0,155.509,0.0
1,-516.0,-7897.0,155.501,0.0
1,-511.0,-7892.0,155.457,0.0
1,-506.0,-7887.0,155.358,0.0
1,-501.0,-7882.0,155.271,0.0
1,-496.0,-7877.0,155.188,0.0
1,-481.0,-7862.0,155.139,0.0
1,-476.0,-7857.0,155.092,0.0
1,-466.0,-7847.0,155.053,0.0
1,-461.0,-7842.0,155.025,0.0
1,-446.0,-7827.0,154.972,0.0
1,-431.0,-7812.0,154.968,0.0
1,-426.0,-7807.0,154.887,0.0
1,-421.0,-7802.0,154.867,0.0
1,-406.0,-7787.0,154.827,0.0
1,-385.0,-7766.0,154.794,0.0
1,-380.0,-7761.0,154.767,0.0
1,-375.0,-7756.0,154.766,0.0
1,-355.0,-7736.0,154.747,0.0
1,-340.0,-7721.0,154.746,0.0
1,-335.0,-7716.0,154.679,0.0
1,-330.0,-7711.0,154.591,0.0
1,-320.0,-7701.0,154.577,0.0
1,-315.0,-7696.0,154.504,0.0
1,-300.0,-7681.0,154.457,0.0
1,-285.0,-7666.0,154.403,0.0
1,-270.0,-7651.0,154.351,0.0
1,-255.0,-7636.0,154.348,0.0
1,-250.0,-7631.0,154.314,0.0
1,-245.0,-7626.0,154.24,0.0
1,-240.0,-7621.0,154.188,0.0
1,-225.0,-7606.0,154.135,0.0
1,-215.0,-7596.0,154.128,0.0
1,-210.0,-7591.0,154.102,0.0
1,-205.0,-7586.0,154.101,0.0
1,-200.0,-7581.0,154.046,0.0
1,-190.0,-7571.0,153.987,0.0
1,-180.0,-7561.0,153.96,0.0
1,-165.0,-7546.0,153.901,0.0
1,-150.0,-7531.0,153.859,0.0
1,-140.0,-7521.0,153.819,0.0
1,-135.0,-7516.0,153.799,0.0
1,-125.0,-7506.0,153.738,0.0
1,-109.0,-7490.0,153.681,0.0
1,-94.0,-7475.0,153.663,0.0
1,-79.0,-7460.0,153.643,0.0
1,-64.0,-7445.0,153.61,0.0
1,-59.0,-7440.0,153.597,0.0
1,-49.0,-7430.0,153.578,0.0
1,-44.0,-7425.0,153.543,0.0
1,-36.0,-7417.0,153.535,0.0
1,-35.0,-7416.0,153.52,0.0
1,-30.0,-7411.0,153.471,0.0
1,0.0,-7381.0,153.429,0.0
1,5.0,-7376.0,153.391,0.0
1,10.0,-7371.0,153.359,0.0
1,772.0,-6609.0,153.342,0.0
1,787.0,-6594.0,153.311,0.0
1,792.0,-6589.0,153.28,0.0
1,812.0,-6569.0,153.236,0.0
1,1708.0,-5673.0,153.227,0.0
1,1723.0,-5658.0,153.207,0.0
1,1728.0,-5653.0,153.151,0.0
1,1758.0,-5623.0,153.128,0.0
