leg,time,lat,lng,tickLead,tickRace,distance
0,2017-01-03T02:45:27Z,-33.35588300,147.93211600,-1810.0,-9191.0,156.057
0,2017-01-03T02:45:57Z,-33.35596000,147.93230000,-1780.0,-9161.0,156.078
0,2017-01-03T02:46:27Z,-33.35605000,147.93236000,-1750.0,-9131.0,156.082
0,2017-01-03T02:46:57Z,-33.35618300,147.93230000,-1720.0,-9101.0,156.081
0,2017-01-03T02:47:27Z,-33.35605000,147.93235000,-1690.0,-9071.0,156.081
0,2017-01-03T02:47:57Z,-33.35608300,147.93235000,-1660.0,-9041.0,156.081
0,2017-01-03T02:48:27Z,-33.35596000,147.93236000,-1630.0,-9011.0,156.081
0,2017-01-03T02:48:57Z,-33.35608300,147.93238300,-1600.0,-8981.0,156.084
0,2017-01-03T02:49:27Z,-33.35611600,147.93230000,-1570.0,-8951.0,156.08
0,2017-01-03T02:49:57Z,-33.35735000,147.93398300,-1540.0,-8921.0,156.251
0,2017-01-03T02:50:07Z,-33.35820000,147.93481600,-1530.0,-8911.0,156.341
1,2017-01-03T02:50:17Z,-33.35868300,147.93560000,-1520.0,-8901.0,156.421
1,2017-01-03T02:50:27Z,-33.35951600,147.93636000,-1510.0,-8891.0,156.505
1,2017-01-03T02:50:37Z,-33.36028300,147.93713000,-1500.0,-8881.0,156.587
1,2017-01-03T02:50:47Z,-33.36125000,147.93786000,-1490.0,-8871.0,156.67
1,2017-01-03T02:50:57Z,-33.36213000,147.93858300,-1480.0,-8861.0,156.751
1,2017-01-03T02:51:07Z,-33.36306000,147.93941600,-1470.0,-8851.0,156.843
1,2017-01-03T02:51:17Z,-33.36380000,147.94045000,-1460.0,-8841.0,156.95
1,2017-01-03T02:51:27Z,-33.36450000,147.94160000,-1450.0,-8831.0,157.073
1,2017-01-03T02:51:37Z,-33.36511600,147.94293000,-1440.0,-8821.0,157.2
1,2017-01-03T02:51:47Z,-33.36551600,147.94445000,-1430.0,-8811.0,157.346
1,2017-01-03T02:51:57Z,-33.36598300,147.94591600,-1420.0,-8801.0,157.488
1,2017-01-03T02:52:07Z,-33.36621600,147.94753000,-1410.0,-8791.0,157.64
1,2017-01-03T02:52:17Z,-33.36628300,147.94918300,-1400.0,-8781.0,157.793
1,2017-01-03T02:52:27Z,-33.36668300,147.95068300,-1390.0,-8771.0,157.937
1,2017-01-03T02:52:37Z,-33.36781600,147.95161600,-1380.0,-8761.0,158.042
1,2017-01-03T02:52:47Z,-33.36916000,147.95123000,-1370.0,-8751.0,158.03
1,2017-01-03T02:52:57Z,-33.36970000,147.94948300,-1360.0,-8741.0,157.879
1,2017-01-03T02:53:07Z,-33.36898300,147.94728300,-1350.0,-8731.0,157.664
1,2017-01-03T02:53:17Z,-33.36775000,147.94513000,-1340.0,-8721.0,157.446
1,2017-01-03T02:53:27Z,-33.36590000,147.94378300,-1330.0,-8711.0,157.291
1,2017-01-03T02:53:37Z,-33.36431600,147.94390000,-1320.0,-8701.0,157.275
1,2017-01-03T02:53:47Z,-33.36415000,147.94531600,-1310.0,-8691.0,157.402
1,2017-01-03T02:53:57Z,-33.36526000,147.94580000,-1300.0,-8681.0,157.465
1,2017-01-03T02:54:07Z,-33.36610000,147.94426000,-1290.0,-8671.0,157.339
1,2017-01-03T02:54:17Z,-33.36648300,147.94230000,-1280.0,-8661.0,157.168
1,2017-01-03T02:54:27Z,-33.36618300,147.94271600,-1270.0,-8651.0,157.198
1,2017-01-03T02:54:37Z,-33.36620000,147.94113000,-1260.0,-8641.0,157.053
